"dt_notific","n.notific"
2020-01-08,1
2020-01-09,2
2020-01-15,1
2020-01-20,1
2020-01-21,1
2020-01-24,1
2020-01-27,1
2020-01-31,2
2020-02-03,3
2020-02-07,3
2020-02-10,2
2020-02-18,1
2020-03-03,1
2020-03-04,2
2020-03-06,1
2020-03-09,3
2020-03-10,2
2020-03-11,1
2020-03-12,2
2020-03-13,1
2020-03-14,2
2020-03-15,2
2020-03-16,7
2020-03-17,5
2020-03-18,4
2020-03-19,7
2020-03-20,9
2020-03-21,3
2020-03-22,6
2020-03-23,19
2020-03-24,11
2020-03-25,7
2020-03-26,16
2020-03-27,12
2020-03-28,10
2020-03-29,1
2020-03-30,18
2020-03-31,13
2020-04-01,11
2020-04-02,7
2020-04-03,21
2020-04-04,7
2020-04-05,8
2020-04-06,15
2020-04-07,13
2020-04-08,17
2020-04-09,14
2020-04-10,9
2020-04-11,6
2020-04-12,6
2020-04-13,12
2020-04-14,11
2020-04-15,14
2020-04-16,10
2020-04-17,11
2020-04-18,10
2020-04-19,10
2020-04-20,16
2020-04-21,10
2020-04-22,8
2020-04-23,14
2020-04-24,19
2020-04-25,8
2020-04-26,4
2020-04-27,14
2020-04-28,16
2020-04-29,20
2020-04-30,11
2020-05-01,4
2020-05-02,5
2020-05-03,1
2020-05-04,4
