"estimate","lower","upper","onset_date","n.reported"
4,4,4,2020-03-19,4
8,8,12,2020-03-20,8
6,6,10,2020-03-21,6
1,1,5,2020-03-22,1
2,2,6,2020-03-23,2
7,7,11,2020-03-24,7
0,0,4,2020-03-25,NA
5,4,8,2020-03-26,4
3,2,6,2020-03-27,2
5,4,8,2020-03-28,4
3,2,7,2020-03-29,2
4,3,8,2020-03-30,3
7,6,11,2020-03-31,6
4,3,9,2020-04-01,3
3,1,7,2020-04-02,1
7,5,12,2020-04-03,5
6,4,11,2020-04-04,4
3,1,8,2020-04-05,1
8,5,13,2020-04-06,5
6,3,12,2020-04-07,3
7,3,13,2020-04-08,3
7,3,13,2020-04-09,3
8,5,15,2020-04-10,4
9,5,16,2020-04-11,4
8,4,16,2020-04-12,3
11,7,20,2020-04-13,6
8,4,17,2020-04-14,3
7,2,16,2020-04-15,1
8,3,18.0249999999996,2020-04-16,2
8,3,20,2020-04-17,1
11,4,26,2020-04-18,2
13,6,31,2020-04-19,3
12,4,33,2020-04-20,1
12,4,38,2020-04-21,1
11,3,40,2020-04-22,NA
13,4,47,2020-04-23,1
12,3,49,2020-04-24,NA
12,3,51,2020-04-25,NA
11,2,57.0249999999996,2020-04-26,NA
11,2,60,2020-04-27,NA
