"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-24,NA
2,2,2,2020-03-25,2
1,1,1,2020-03-26,2
4,4,4,2020-03-27,1
2,2,2,2020-03-28,4
1,1,1,2020-03-29,2
2,2,2,2020-03-30,1
3,3,3,2020-03-31,2
1,1,1,2020-04-01,3
3,3,4,2020-04-02,1
1,1,2,2020-04-03,3
2,2,3,2020-04-04,1
0,0,1,2020-04-05,2
2,2,4,2020-04-06,NA
5,5,7,2020-04-07,2
5,5,7,2020-04-08,5
2,2,4,2020-04-09,5
4,4,7,2020-04-10,2
2,2,5,2020-04-11,4
0,0,3,2020-04-12,2
4,4,7,2020-04-13,NA
1,1,4,2020-04-14,4
1,1,4,2020-04-15,1
2,1,4,2020-04-16,1
2,1,4,2020-04-17,1
3,2,5,2020-04-18,1
3,2,6,2020-04-19,2
6,5,9,2020-04-20,2
4,3,7,2020-04-21,5
2,1,6,2020-04-22,3
4,3,8,2020-04-23,1
4,3,8,2020-04-24,3
2,0,6,2020-04-25,3
4,2,8,2020-04-26,NA
6,4,10,2020-04-27,2
7,5,12,2020-04-28,4
2,0,7,2020-04-29,5
2,0,7,2020-04-30,NA
3,0,8,2020-05-01,NA
3,0,9,2020-05-02,NA
