"estimate","lower","upper","onset_date","n.reported"
11,11,11,2020-03-22,11
11,11,12,2020-03-23,11
12,12,13,2020-03-24,12
7,7,8,2020-03-25,7
7,7,8,2020-03-26,7
12,12,14,2020-03-27,12
9,9,11,2020-03-28,9
11,11,13,2020-03-29,11
8,8,10,2020-03-30,8
10,10,13,2020-03-31,10
22,21,25,2020-04-01,21
11,10,14,2020-04-02,10
11,10,14,2020-04-03,10
13,12,16,2020-04-04,12
8,7,11,2020-04-05,7
11,10,15,2020-04-06,10
12,10,15,2020-04-07,10
12,10,16,2020-04-08,10
16,13,21,2020-04-09,13
18,15,23,2020-04-10,14
16,13,22,2020-04-11,12
16,12,21,2020-04-12,11
16,12,22,2020-04-13,11
17,13,23,2020-04-14,11
22,17,29,2020-04-15,15
14,9,21,2020-04-16,7
12,7,19,2020-04-17,5
13,8,21,2020-04-18,5
24,17,33,2020-04-19,13
17,10,28,2020-04-20,4
30,21,43,2020-04-21,13
26,15,41,2020-04-22,5
32,19,50,2020-04-23,7
32,19,53.0249999999996,2020-04-24,5
34,18,58,2020-04-25,3
39,21,71,2020-04-26,4
40,20,79.0249999999996,2020-04-27,2
40,18,88,2020-04-28,NA
45,21,110,2020-04-29,3
42,18,112,2020-04-30,NA
