"dt_sin_pri","n.casos"
2020-01-09,1
2020-01-17,2
2020-01-18,1
2020-01-22,1
2020-01-23,1
2020-01-24,1
2020-01-25,1
2020-02-03,1
2020-02-04,1
2020-02-17,1
2020-02-25,1
2020-03-01,1
2020-03-05,1
2020-03-07,1
2020-03-08,1
2020-03-10,2
2020-03-11,3
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,1
2020-03-17,1
2020-03-18,3
2020-03-19,1
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,2
2020-03-25,3
2020-03-26,2
2020-03-27,2
2020-03-30,1
2020-03-31,5
2020-04-01,9
2020-04-02,4
2020-04-03,3
2020-04-04,7
2020-04-05,4
2020-04-06,1
2020-04-07,3
2020-04-08,1
2020-04-09,5
2020-04-10,2
2020-04-11,5
2020-04-12,3
2020-04-13,8
2020-04-14,3
2020-04-15,3
2020-04-16,5
2020-04-17,6
2020-04-18,3
2020-04-19,5
2020-04-20,9
2020-04-21,3
2020-04-22,5
2020-04-23,7
2020-04-24,8
2020-04-25,3
2020-04-26,9
2020-04-27,2
2020-04-28,4
2020-05-01,11
