"dt_notific","n.notific"
2020-01-15,1
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-27,1
2020-01-28,1
2020-01-31,1
2020-02-07,2
2020-02-27,1
2020-03-04,1
2020-03-09,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,3
2020-03-18,1
2020-03-20,4
2020-03-22,1
2020-03-23,3
2020-03-24,1
2020-03-25,2
2020-03-26,2
2020-03-28,2
2020-03-30,3
2020-04-01,2
2020-04-02,3
2020-04-03,2
2020-04-06,7
2020-04-07,1
2020-04-08,4
2020-04-09,6
2020-04-10,4
2020-04-11,1
2020-04-12,2
2020-04-13,7
2020-04-14,2
2020-04-15,5
2020-04-16,10
2020-04-17,4
2020-04-18,3
2020-04-19,4
2020-04-20,6
2020-04-21,3
2020-04-22,2
2020-04-23,3
2020-04-24,13
2020-04-25,2
2020-04-26,3
2020-04-27,4
2020-04-28,10
2020-04-29,9
2020-04-30,5
2020-05-01,2
2020-05-02,11
2020-05-03,8
2020-05-04,5
