"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-21,1
1,1,1,2020-03-22,1
2,2,3,2020-03-23,2
2,2,3,2020-03-24,2
3,3,4,2020-03-25,3
2,2,3,2020-03-26,2
2,2,3,2020-03-27,2
0,0,1,2020-03-28,NA
0,0,1,2020-03-29,NA
1,1,2,2020-03-30,1
5,5,7,2020-03-31,5
9,9,11,2020-04-01,9
4,4,6,2020-04-02,4
3,3,5,2020-04-03,3
7,7,9,2020-04-04,7
4,4,6,2020-04-05,4
1,1,3,2020-04-06,1
3,3,5,2020-04-07,3
1,1,3,2020-04-08,1
5,5,7,2020-04-09,5
2,2,4,2020-04-10,2
3,3,6,2020-04-11,3
3,3,6,2020-04-12,3
9,8,11,2020-04-13,8
4,3,6,2020-04-14,3
4,3,7,2020-04-15,3
5,4,8,2020-04-16,4
5,4,9,2020-04-17,4
5,3,9,2020-04-18,3
7,5,11,2020-04-19,5
5,3,9,2020-04-20,3
6,3,10,2020-04-21,3
6,3,11,2020-04-22,3
8,5,14,2020-04-23,4
7,3,14,2020-04-24,2
7,2,15,2020-04-25,1
8,3,19,2020-04-26,2
7,1,19,2020-04-27,NA
7,1,21,2020-04-28,NA
7,1,23,2020-04-29,NA
