"dt_evoluca","n.casos"
2020-01-12,1
2020-01-13,1
2020-01-15,2
2020-01-17,1
2020-01-19,1
2020-01-23,1
2020-01-24,1
2020-01-25,2
2020-01-26,1
2020-01-27,2
2020-01-29,2
2020-01-31,1
2020-02-02,1
2020-02-05,1
2020-02-07,1
2020-02-08,1
2020-02-10,1
2020-02-17,2
2020-02-18,1
2020-02-20,1
2020-02-21,1
2020-02-24,1
2020-02-26,1
2020-02-27,2
2020-02-28,1
2020-02-29,2
2020-03-02,1
2020-03-03,1
2020-03-05,2
2020-03-06,2
2020-03-08,1
2020-03-10,1
2020-03-13,3
2020-03-14,1
2020-03-15,1
2020-03-16,2
2020-03-18,1
2020-03-20,1
2020-03-21,5
2020-03-22,4
2020-03-23,3
2020-03-24,8
2020-03-25,11
2020-03-26,4
2020-03-27,3
2020-03-28,8
2020-03-29,10
2020-03-30,8
2020-03-31,10
2020-04-01,5
2020-04-02,9
2020-04-03,13
2020-04-04,10
2020-04-05,12
2020-04-06,13
2020-04-07,8
2020-04-08,12
2020-04-09,9
2020-04-10,5
2020-04-11,13
2020-04-12,9
2020-04-13,14
2020-04-14,11
2020-04-15,10
2020-04-16,9
2020-04-17,8
2020-04-18,8
2020-04-19,12
2020-04-20,3
2020-04-21,7
2020-04-22,16
2020-04-23,11
2020-04-24,10
2020-04-25,8
2020-04-26,15
2020-04-27,8
2020-04-28,10
2020-04-29,12
2020-04-30,9
2020-05-01,4
2020-05-02,15
2020-05-03,6
2020-05-04,5
