"dt_notific","n.notific"
2020-03-13,1
2020-03-14,1
2020-03-16,1
2020-03-18,3
2020-03-20,3
2020-03-22,12
2020-03-23,3
2020-03-24,6
2020-03-25,9
2020-03-26,6
2020-03-27,20
2020-03-28,10
2020-03-29,12
2020-03-30,20
2020-03-31,17
2020-04-01,10
2020-04-02,23
2020-04-03,10
2020-04-04,7
2020-04-05,4
2020-04-06,16
2020-04-07,12
2020-04-08,10
2020-04-09,7
2020-04-10,6
2020-04-11,7
2020-04-12,6
2020-04-13,19
2020-04-14,11
2020-04-15,12
2020-04-16,11
2020-04-17,8
2020-04-18,11
2020-04-19,12
2020-04-20,24
2020-04-21,10
2020-04-22,24
2020-04-23,29
2020-04-24,25
2020-04-25,19
2020-04-26,21
2020-04-27,42
2020-04-28,29
2020-04-29,26
2020-04-30,24
2020-05-01,5
2020-05-02,4
2020-05-04,2
