"dt_notific","n.notific"
2020-01-08,1
2020-01-09,2
2020-01-13,2
2020-01-14,2
2020-01-15,1
2020-01-16,1
2020-01-17,1
2020-01-18,1
2020-01-20,1
2020-01-21,2
2020-01-24,2
2020-01-27,4
2020-01-28,1
2020-02-03,1
2020-02-04,3
2020-02-06,1
2020-02-07,2
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-17,2
2020-02-21,1
2020-02-24,1
2020-02-26,2
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-04,1
2020-03-05,2
2020-03-06,1
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-13,1
2020-03-14,1
2020-03-16,1
2020-03-17,4
2020-03-18,3
2020-03-19,1
2020-03-20,1
2020-03-21,3
2020-03-22,8
2020-03-23,19
2020-03-24,12
2020-03-25,2
2020-03-26,9
2020-03-27,13
2020-03-28,10
2020-03-29,10
2020-03-30,14
2020-03-31,9
2020-04-01,8
2020-04-02,12
2020-04-03,7
2020-04-04,18
2020-04-05,6
2020-04-06,17
2020-04-07,10
2020-04-08,4
2020-04-09,12
2020-04-10,5
2020-04-11,6
2020-04-12,6
2020-04-13,24
2020-04-14,10
2020-04-15,2
2020-04-16,7
2020-04-17,9
2020-04-18,7
2020-04-19,9
2020-04-20,8
2020-04-21,6
2020-04-22,14
2020-04-23,11
2020-04-24,10
2020-04-25,6
2020-04-26,8
2020-04-27,11
2020-04-28,6
2020-04-29,6
2020-04-30,6
2020-05-01,3
2020-05-02,6
