"estimate","lower","upper","onset_date","n.reported"
9,9,9,2020-03-21,9
7,7,9,2020-03-22,7
8,8,10,2020-03-23,8
11,11,14,2020-03-24,11
16,16,20,2020-03-25,16
22,21,26,2020-03-26,21
14,14,18,2020-03-27,14
8,8,12,2020-03-28,8
11,11,15,2020-03-29,11
10,10,13.0249999999996,2020-03-30,10
8,8,11,2020-03-31,8
16,16,20,2020-04-01,16
6,6,9,2020-04-02,6
8,7,10,2020-04-03,7
7,7,10,2020-04-04,7
6,5,8,2020-04-05,5
9,8,12,2020-04-06,8
7,6,10,2020-04-07,6
10,9,14,2020-04-08,9
11,10,15,2020-04-09,10
21,19,26,2020-04-10,19
18,16,23,2020-04-11,16
13,11,18,2020-04-12,11
12,9,16,2020-04-13,9
16,12,21,2020-04-14,12
27,22,34,2020-04-15,21
30,25,39,2020-04-16,22
28,22,38,2020-04-17,18
26,18,37,2020-04-18,13
37,27,51,2020-04-19,18
54,41,72,2020-04-20,26
47,32,67,2020-04-21,15
46,30,70,2020-04-22,10
59.5,38,91,2020-04-23,12
63,38,103,2020-04-24,8
68,38,118,2020-04-25,5
74,37,143,2020-04-26,3
76,34,176,2020-04-27,1
79,31,216.025,2020-04-28,1
77,26,245,2020-04-29,NA
