"estimate","lower","upper","onset_date","n.reported"
8,8,8,2020-03-24,8
11,11,11,2020-03-25,11
4,4,4,2020-03-26,4
3,3,3,2020-03-27,3
8,8,10,2020-03-28,8
10,10,12,2020-03-29,10
8,8,10,2020-03-30,8
10,10,13,2020-03-31,10
5,5,8,2020-04-01,5
9,9,12,2020-04-02,9
13,13,16,2020-04-03,13
10,10,13,2020-04-04,10
12,12,15,2020-04-05,12
13,13,16,2020-04-06,13
8,8,11,2020-04-07,8
12,12,15,2020-04-08,12
10,9,13,2020-04-09,9
6,5,9,2020-04-10,5
14,13,17,2020-04-11,13
10,9,13,2020-04-12,9
15,14,18,2020-04-13,14
12,11,15,2020-04-14,11
11,10,14,2020-04-15,10
10,9,13,2020-04-16,9
9,8,13,2020-04-17,8
9,8,13,2020-04-18,8
13,12,17,2020-04-19,12
4,3,8,2020-04-20,3
9,7,12,2020-04-21,7
18,16,22,2020-04-22,16
13,11,17,2020-04-23,11
13,10,17,2020-04-24,10
11,8,16,2020-04-25,8
19,15,24,2020-04-26,15
12,9,17,2020-04-27,8
15,11,20,2020-04-28,10
17,13,23,2020-04-29,12
14,10,21,2020-04-30,8
12,7,19,2020-05-01,4
11,6,19,2020-05-02,2
