"estimate","lower","upper","onset_date","n.reported"
90,90,90,2020-03-23,90
88,88,90,2020-03-24,88
91,91,94,2020-03-25,91
87,86,90,2020-03-26,86
92,91,96,2020-03-27,91
87,86,92,2020-03-28,86
57,56,61,2020-03-29,56
100,98,104,2020-03-30,98
58,57,63,2020-03-31,57
91,89,96,2020-04-01,89
58,56,62,2020-04-02,56
82,80,88,2020-04-03,80
80,78,86,2020-04-04,78
83,80,89,2020-04-05,80
76,73,82,2020-04-06,73
64,61,70,2020-04-07,61
71,68,77,2020-04-08,68
90,87,96,2020-04-09,86
86,83,93,2020-04-10,82
71,67,77,2020-04-11,66
85,80,91,2020-04-12,79
80,76,87,2020-04-13,74
85,80,93,2020-04-14,78
96,90,104,2020-04-15,87
86,80,95,2020-04-16,76
104,97,113,2020-04-17,91
102,95,112,2020-04-18,86
91,82,102,2020-04-19,71
150,138,165,2020-04-20,117
104,91,119,2020-04-21,68
131,116,149,2020-04-22,82
144,125,166.025,2020-04-23,77
163,140,189,2020-04-24,75
171,143,203,2020-04-25,60
183,149,222,2020-04-26,45
244,196,303,2020-04-27,54
240,186,311,2020-04-28,30
226,161,314,2020-04-29,8
241,165,367.025,2020-04-30,7
236,145,393,2020-05-01,NA
