"dt_evoluca","n.casos"
2019-12-31,1
2020-01-16,1
2020-01-19,1
2020-02-16,1
2020-02-21,1
2020-02-23,2
2020-02-26,1
2020-03-03,1
2020-03-05,1
2020-03-06,1
2020-03-18,1
2020-03-19,1
2020-03-20,2
2020-03-21,3
2020-03-22,4
2020-03-23,3
2020-03-24,2
2020-03-25,6
2020-03-26,3
2020-03-27,2
2020-03-28,3
2020-03-29,5
2020-03-30,5
2020-03-31,6
2020-04-01,6
2020-04-02,11
2020-04-03,5
2020-04-04,6
2020-04-05,6
2020-04-06,7
2020-04-07,4
2020-04-08,11
2020-04-09,4
2020-04-10,7
2020-04-11,9
2020-04-12,8
2020-04-13,5
2020-04-14,6
2020-04-15,4
2020-04-16,1
2020-04-17,5
2020-04-18,3
2020-04-19,2
2020-04-20,1
2020-04-21,5
2020-04-22,7
2020-04-23,3
2020-04-24,6
2020-04-25,1
2020-04-27,1
2020-04-28,6
2020-04-29,6
2020-04-30,3
2020-05-01,2
2020-05-02,2
2020-05-04,2
