"dt_sin_pri","n.casos"
2020-03-01,1
2020-03-03,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,2
2020-03-10,3
2020-03-11,2
2020-03-12,7
2020-03-13,4
2020-03-14,4
2020-03-15,7
2020-03-16,7
2020-03-17,15
2020-03-18,11
2020-03-19,4
2020-03-20,13
2020-03-21,8
2020-03-22,5
2020-03-23,15
2020-03-24,4
2020-03-25,9
2020-03-26,9
2020-03-27,17
2020-03-28,8
2020-03-29,7
2020-03-30,5
2020-03-31,7
2020-04-01,11
2020-04-02,8
2020-04-03,7
2020-04-04,4
2020-04-05,5
2020-04-06,3
2020-04-07,5
2020-04-08,4
2020-04-09,7
2020-04-10,4
2020-04-11,1
2020-04-12,7
2020-04-13,8
2020-04-14,5
2020-04-15,5
2020-04-16,3
2020-04-17,5
2020-04-18,5
2020-04-19,2
2020-04-20,3
2020-04-21,2
2020-04-22,7
2020-04-27,3
2020-04-28,1
