"dt_notific","n.notific"
2020-03-12,2
2020-03-14,1
2020-03-15,2
2020-03-16,2
2020-03-17,3
2020-03-18,7
2020-03-19,5
2020-03-20,8
2020-03-21,2
2020-03-22,3
2020-03-23,3
2020-03-24,10
2020-03-25,10
2020-03-26,9
2020-03-27,17
2020-03-28,8
2020-03-29,13
2020-03-30,18
2020-03-31,8
2020-04-01,13
2020-04-02,7
2020-04-03,11
2020-04-04,5
2020-04-05,4
2020-04-06,15
2020-04-07,9
2020-04-08,10
2020-04-09,3
2020-04-10,9
2020-04-11,2
2020-04-12,1
2020-04-13,9
2020-04-14,6
2020-04-15,4
2020-04-16,3
2020-04-17,5
2020-04-18,3
2020-04-19,1
2020-04-20,7
2020-04-21,2
2020-04-22,7
2020-04-23,6
2020-04-24,5
2020-04-25,3
2020-04-26,2
2020-04-27,4
2020-04-28,4
2020-04-30,1
2020-05-01,1
