"dt_notific","n.notific"
2019-12-31,1
2020-01-07,1
2020-01-16,1
2020-01-20,1
2020-02-11,1
2020-02-21,2
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-03-03,1
2020-03-09,1
2020-03-15,1
2020-03-16,2
2020-03-17,1
2020-03-18,1
2020-03-19,3
2020-03-20,5
2020-03-21,4
2020-03-22,7
2020-03-23,2
2020-03-24,7
2020-03-25,11
2020-03-26,8
2020-03-27,7
2020-03-28,4
2020-03-29,10
2020-03-30,11
2020-03-31,5
2020-04-01,7
2020-04-02,3
2020-04-03,5
2020-04-04,5
2020-04-05,5
2020-04-06,8
2020-04-07,5
2020-04-08,5
2020-04-09,4
2020-04-10,8
2020-04-11,3
2020-04-12,3
2020-04-13,6
2020-04-14,3
2020-04-15,3
2020-04-16,5
2020-04-19,1
2020-04-20,3
2020-04-21,1
2020-04-22,9
2020-04-23,4
2020-04-24,2
2020-04-25,2
2020-04-27,1
2020-04-28,6
2020-04-29,1
2020-05-01,1
2020-05-04,2
