"estimate","lower","upper","onset_date","n.reported"
11,11,11,2020-03-18,11
4,4,5,2020-03-19,4
12,12,14,2020-03-20,12
8,8,10,2020-03-21,8
5,5,7,2020-03-22,5
15,15,17,2020-03-23,15
4,4,6,2020-03-24,4
7,7,9,2020-03-25,7
9,9,11,2020-03-26,9
16,16,19,2020-03-27,16
8,8,11,2020-03-28,8
7,7,10,2020-03-29,7
4,4,7,2020-03-30,4
7,7,10,2020-03-31,7
11,11,14,2020-04-01,11
7,7,10,2020-04-02,7
7,6,9,2020-04-03,6
5,4,7,2020-04-04,4
6,5,8,2020-04-05,5
4,3,6,2020-04-06,3
6,5,9,2020-04-07,5
4,3,7,2020-04-08,3
6,5,10,2020-04-09,5
5,4,9,2020-04-10,4
2,0,5,2020-04-11,NA
7,5,11,2020-04-12,5
10,7,14,2020-04-13,7
7,4,12,2020-04-14,4
7,4,12,2020-04-15,4
5,2,10,2020-04-16,2
4,1,9,2020-04-17,1
6,2,11,2020-04-18,2
4,0,9,2020-04-19,NA
4,0,10,2020-04-20,NA
4,0,11,2020-04-21,NA
5,1,12,2020-04-22,1
4,0,12,2020-04-23,NA
5,0,12,2020-04-24,NA
5,0,14,2020-04-25,NA
5,0,14,2020-04-26,NA
