"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-24,2
6,6,6,2020-03-25,6
3,3,3,2020-03-26,3
2,2,2,2020-03-27,2
3,3,3,2020-03-28,3
5,5,5,2020-03-29,5
5,5,5,2020-03-30,5
6,6,6,2020-03-31,6
6,6,6,2020-04-01,6
11,11,11,2020-04-02,11
5,5,7,2020-04-03,5
6,6,8,2020-04-04,6
5,5,8,2020-04-05,5
7,7,10,2020-04-06,7
4,4,7,2020-04-07,4
12,11,14,2020-04-08,11
5,4,7,2020-04-09,4
8,7,10,2020-04-10,7
10,9,13,2020-04-11,9
9,8,12,2020-04-12,8
6,5,9,2020-04-13,5
7,6,10,2020-04-14,6
5,4,8,2020-04-15,4
2,1,5,2020-04-16,1
6,5,9,2020-04-17,5
4,3,7,2020-04-18,3
3,2,6,2020-04-19,2
2,1,5,2020-04-20,1
6,5,9,2020-04-21,5
8,7,11,2020-04-22,7
4,3,8,2020-04-23,3
8,6,11,2020-04-24,6
3,1,6,2020-04-25,1
2,0,5,2020-04-26,NA
3,1,7,2020-04-27,1
7,5,11,2020-04-28,5
8,5,12,2020-04-29,5
6,3,11,2020-04-30,3
4,1,10,2020-05-01,1
5,2,12,2020-05-02,1
