"estimate","lower","upper","onset_date","n.reported"
57,57,57,2020-03-23,57
57,57,60,2020-03-24,57
52,52,55,2020-03-25,52
45,45,49,2020-03-26,45
53,52,56,2020-03-27,52
44,43,48,2020-03-28,43
39,38,43,2020-03-29,38
40,39,44,2020-03-30,39
38,36,42,2020-03-31,36
60,58,64,2020-04-01,58
37,35,41,2020-04-02,35
41,39,45,2020-04-03,39
29,27,33,2020-04-04,27
41,38,45,2020-04-05,38
40,37,44,2020-04-06,37
44,41,49,2020-04-07,41
38,35,43,2020-04-08,35
47,44,52,2020-04-09,43
52,49,58,2020-04-10,48
36,32,42,2020-04-11,31
38,34,44,2020-04-12,33
57,52,63,2020-04-13,50
36,31,42,2020-04-14,29
42,37,49,2020-04-15,34
39,34,46,2020-04-16,30
49,43,57,2020-04-17,39
43,36,51,2020-04-18,31
49,42,58,2020-04-19,36
45,37,53,2020-04-20,30
39,31,48,2020-04-21,23
45,36,55,2020-04-22,26
47,38,58,2020-04-23,26
45,35,56,2020-04-24,21
36,26,49,2020-04-25,9
58,46,72,2020-04-26,26
44,32,60,2020-04-27,9
52,38,70,2020-04-28,12
47,32,67,2020-04-29,4
46,30,68,2020-04-30,1
47,30,72,2020-05-01,NA
