"dt_sin_pri","n.casos"
2020-01-02,1
2020-01-17,1
2020-01-19,1
2020-02-01,1
2020-02-04,1
2020-02-10,1
2020-02-13,1
2020-02-14,1
2020-02-20,1
2020-02-25,1
2020-02-27,2
2020-03-01,2
2020-03-08,2
2020-03-09,1
2020-03-10,2
2020-03-11,3
2020-03-12,4
2020-03-13,4
2020-03-14,1
2020-03-15,4
2020-03-16,3
2020-03-17,3
2020-03-18,4
2020-03-19,4
2020-03-20,3
2020-03-21,5
2020-03-22,4
2020-03-23,9
2020-03-24,6
2020-03-25,4
2020-03-26,2
2020-03-27,1
2020-03-28,3
2020-03-29,2
2020-03-30,4
2020-03-31,3
2020-04-01,8
2020-04-02,5
2020-04-03,2
2020-04-04,5
2020-04-05,7
2020-04-06,4
2020-04-07,3
2020-04-08,5
2020-04-09,5
2020-04-10,5
2020-04-11,6
2020-04-12,4
2020-04-13,2
2020-04-14,2
2020-04-15,5
2020-04-16,4
2020-04-17,4
2020-04-18,6
2020-04-19,5
2020-04-20,10
2020-04-21,3
2020-04-22,5
2020-04-23,5
2020-04-24,5
2020-04-25,7
2020-04-26,5
2020-04-27,11
2020-04-28,3
2020-04-29,6
2020-04-30,1
2020-05-01,3
2020-05-02,1
2020-05-03,1
