"dt_notific","n.notific"
2020-01-02,1
2020-01-27,2
2020-02-05,1
2020-02-12,1
2020-02-17,1
2020-02-19,2
2020-03-02,3
2020-03-04,1
2020-03-05,1
2020-03-09,1
2020-03-12,1
2020-03-14,2
2020-03-15,2
2020-03-17,1
2020-03-18,7
2020-03-19,1
2020-03-20,3
2020-03-21,1
2020-03-22,2
2020-03-23,1
2020-03-24,5
2020-03-25,6
2020-03-26,5
2020-03-27,4
2020-03-28,2
2020-03-29,1
2020-03-30,12
2020-03-31,4
2020-04-01,5
2020-04-02,3
2020-04-03,5
2020-04-04,3
2020-04-05,3
2020-04-06,6
2020-04-07,4
2020-04-08,3
2020-04-09,4
2020-04-10,5
2020-04-11,5
2020-04-13,9
2020-04-14,6
2020-04-15,4
2020-04-16,6
2020-04-17,6
2020-04-18,4
2020-04-19,2
2020-04-20,7
2020-04-21,3
2020-04-22,7
2020-04-23,5
2020-04-24,10
2020-04-25,1
2020-04-26,1
2020-04-27,9
2020-04-28,14
2020-04-29,12
2020-04-30,11
2020-05-01,1
2020-05-02,1
2020-05-03,5
2020-05-04,4
