"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-19,1
0,0,0,2020-03-20,NA
1,1,2,2020-03-21,1
0,0,1,2020-03-22,NA
2,2,3,2020-03-23,2
2,2,3,2020-03-24,2
1,1,2,2020-03-25,1
1,1,2,2020-03-26,1
0,0,1,2020-03-27,NA
1,1,2,2020-03-28,1
1,1,2,2020-03-29,1
1,1,2,2020-03-30,1
1,1,2,2020-03-31,1
2,2,4,2020-04-01,2
1,1,2,2020-04-02,1
0,0,1,2020-04-03,NA
0,0,1,2020-04-04,NA
1,1,2,2020-04-05,1
0,0,1,2020-04-06,NA
0,0,1,2020-04-07,NA
0,0,2,2020-04-08,NA
1,1,3,2020-04-09,1
1,1,3,2020-04-10,1
1,1,3,2020-04-11,1
0,0,2,2020-04-12,NA
0,0,3,2020-04-13,NA
0,0,3,2020-04-14,NA
0,0,4,2020-04-15,NA
1,0,4,2020-04-16,NA
2,1,7,2020-04-17,1
3,1,9,2020-04-18,1
2,0,10,2020-04-19,NA
4,1,17,2020-04-20,1
6,1,26,2020-04-21,1
9,2,46,2020-04-22,1
14,3,97,2020-04-23,2
17,3,171,2020-04-24,2
15,1,228,2020-04-25,NA
15,1,322.025,2020-04-26,NA
15,1,380,2020-04-27,NA
