"estimate","lower","upper","onset_date","n.reported"
9,9,9,2020-03-23,9
6,6,7,2020-03-24,6
4,4,5,2020-03-25,4
2,2,3,2020-03-26,2
1,1,2,2020-03-27,1
3,3,4,2020-03-28,3
2,2,3,2020-03-29,2
4,4,6,2020-03-30,4
3,3,5,2020-03-31,3
8,8,10,2020-04-01,8
5,5,7,2020-04-02,5
2,2,4,2020-04-03,2
5,5,7,2020-04-04,5
7,7,9,2020-04-05,7
4,4,6,2020-04-06,4
3,3,5,2020-04-07,3
5,5,8,2020-04-08,5
5,5,8,2020-04-09,5
5,5,8,2020-04-10,5
7,6,10,2020-04-11,6
5,4,8,2020-04-12,4
3,2,6,2020-04-13,2
3,2,6,2020-04-14,2
6,5,10,2020-04-15,5
6,4,9,2020-04-16,4
6,4,10,2020-04-17,4
8,5,13,2020-04-18,5
8,5,14,2020-04-19,5
13,10,20,2020-04-20,9
8,4,15,2020-04-21,3
10,5,18,2020-04-22,4
12,6,21,2020-04-23,4
15,8,27,2020-04-24,5
20,11,35,2020-04-25,6
23,12,41,2020-04-26,4
38,22,65,2020-04-27,10
35,16,70,2020-04-28,2
50,23,116,2020-04-29,5
47,17,127,2020-04-30,1
46,15,155,2020-05-01,NA
