"dt_evoluca","n.casos"
2020-03-12,1
2020-03-15,1
2020-03-16,3
2020-03-17,2
2020-03-18,5
2020-03-19,7
2020-03-20,13
2020-03-21,11
2020-03-22,15
2020-03-23,28
2020-03-24,24
2020-03-25,20
2020-03-26,30
2020-03-27,40
2020-03-28,50
2020-03-29,45
2020-03-30,52
2020-03-31,55
2020-04-01,64
2020-04-02,61
2020-04-03,61
2020-04-04,86
2020-04-05,85
2020-04-06,78
2020-04-07,84
2020-04-08,71
2020-04-09,62
2020-04-10,84
2020-04-11,70
2020-04-12,69
2020-04-13,97
2020-04-14,63
2020-04-15,72
2020-04-16,68
2020-04-17,78
2020-04-18,65
2020-04-19,71
2020-04-20,80
2020-04-21,68
2020-04-22,80
2020-04-23,95
2020-04-24,69
2020-04-25,58
2020-04-26,82
2020-04-27,66
2020-04-28,80
2020-04-29,56
2020-04-30,32
2020-05-01,37
2020-05-02,19
2020-05-03,20
2020-05-04,5
