"dt_evoluca","n.casos"
2020-01-02,1
2020-01-03,2
2020-01-07,1
2020-01-08,1
2020-01-09,2
2020-01-11,1
2020-01-14,2
2020-01-15,1
2020-01-16,2
2020-01-17,1
2020-01-19,2
2020-01-20,1
2020-01-21,1
2020-01-23,2
2020-01-24,4
2020-01-25,1
2020-01-26,1
2020-01-27,2
2020-01-29,1
2020-01-30,1
2020-02-01,1
2020-02-02,2
2020-02-03,1
2020-02-04,3
2020-02-05,3
2020-02-06,1
2020-02-07,1
2020-02-09,1
2020-02-11,2
2020-02-13,1
2020-02-14,3
2020-02-15,4
2020-02-16,3
2020-02-17,4
2020-02-18,3
2020-02-19,1
2020-02-20,1
2020-02-21,4
2020-02-22,2
2020-02-24,3
2020-02-25,2
2020-02-27,1
2020-02-28,3
2020-02-29,5
2020-03-01,1
2020-03-02,1
2020-03-03,3
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,6
2020-03-13,6
2020-03-14,6
2020-03-15,10
2020-03-16,16
2020-03-17,7
2020-03-18,26
2020-03-19,25
2020-03-20,38
2020-03-21,59
2020-03-22,55
2020-03-23,79
2020-03-24,79
2020-03-25,84
2020-03-26,107
2020-03-27,118
2020-03-28,120
2020-03-29,129
2020-03-30,134
2020-03-31,149
2020-04-01,153
2020-04-02,159
2020-04-03,160
2020-04-04,184
2020-04-05,193
2020-04-06,191
2020-04-07,211
2020-04-08,154
2020-04-09,144
2020-04-10,165
2020-04-11,154
2020-04-12,159
2020-04-13,192
2020-04-14,141
2020-04-15,145
2020-04-16,156
2020-04-17,155
2020-04-18,153
2020-04-19,162
2020-04-20,163
2020-04-21,140
2020-04-22,156
2020-04-23,182
2020-04-24,142
2020-04-25,130
2020-04-26,161
2020-04-27,158
2020-04-28,150
2020-04-29,137
2020-04-30,80
2020-05-01,79
2020-05-02,40
2020-05-03,49
2020-05-04,9
