"dt_sin_pri","n.casos"
2020-01-14,1
2020-01-27,1
2020-02-03,2
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-14,2
2020-02-15,1
2020-02-16,2
2020-02-19,1
2020-02-20,6
2020-02-22,2
2020-02-23,1
2020-02-24,5
2020-02-26,1
2020-02-27,3
2020-02-28,4
2020-02-29,2
2020-03-01,11
2020-03-02,8
2020-03-03,11
2020-03-04,12
2020-03-05,13
2020-03-06,21
2020-03-07,20
2020-03-08,27
2020-03-09,47
2020-03-10,57
2020-03-11,79
2020-03-12,98
2020-03-13,111
2020-03-14,160
2020-03-15,173
2020-03-16,233
2020-03-17,205
2020-03-18,228
2020-03-19,236
2020-03-20,327
2020-03-21,301
2020-03-22,312
2020-03-23,404
2020-03-24,367
2020-03-25,342
2020-03-26,360
2020-03-27,311
2020-03-28,302
2020-03-29,303
2020-03-30,313
2020-03-31,290
2020-04-01,378
2020-04-02,286
2020-04-03,268
2020-04-04,260
2020-04-05,273
2020-04-06,273
2020-04-07,239
2020-04-08,259
2020-04-09,260
2020-04-10,328
2020-04-11,229
2020-04-12,269
2020-04-13,238
2020-04-14,248
2020-04-15,277
2020-04-16,236
2020-04-17,249
2020-04-18,274
2020-04-19,221
2020-04-20,257
2020-04-21,135
2020-04-22,144
2020-04-23,121
2020-04-24,106
2020-04-25,97
2020-04-26,64
2020-04-27,63
2020-04-28,27
2020-04-29,18
2020-04-30,10
2020-05-01,7
2020-05-02,4
