"dt_sin_pri","n.casos"
2019-12-29,9
2019-12-30,18
2019-12-31,13
2020-01-01,19
2020-01-02,17
2020-01-03,16
2020-01-04,13
2020-01-05,14
2020-01-06,20
2020-01-07,15
2020-01-08,19
2020-01-09,10
2020-01-10,13
2020-01-11,13
2020-01-12,8
2020-01-13,7
2020-01-14,14
2020-01-15,14
2020-01-16,11
2020-01-17,14
2020-01-18,9
2020-01-19,16
2020-01-20,10
2020-01-21,9
2020-01-22,13
2020-01-23,15
2020-01-24,18
2020-01-25,17
2020-01-26,13
2020-01-27,15
2020-01-28,15
2020-01-29,5
2020-01-30,15
2020-01-31,10
2020-02-01,18
2020-02-02,10
2020-02-03,20
2020-02-04,13
2020-02-05,13
2020-02-06,14
2020-02-07,14
2020-02-08,19
2020-02-09,22
2020-02-10,32
2020-02-11,15
2020-02-12,26
2020-02-13,17
2020-02-14,29
2020-02-15,28
2020-02-16,30
2020-02-17,42
2020-02-18,27
2020-02-19,25
2020-02-20,45
2020-02-21,33
2020-02-22,35
2020-02-23,38
2020-02-24,44
2020-02-25,50
2020-02-26,38
2020-02-27,40
2020-02-28,46
2020-02-29,45
2020-03-01,85
2020-03-02,75
2020-03-03,95
2020-03-04,61
2020-03-05,81
2020-03-06,97
2020-03-07,110
2020-03-08,146
2020-03-09,202
2020-03-10,281
2020-03-11,267
2020-03-12,364
2020-03-13,435
2020-03-14,496
2020-03-15,631
2020-03-16,801
2020-03-17,747
2020-03-18,852
2020-03-19,867
2020-03-20,1190
2020-03-21,951
2020-03-22,968
2020-03-23,1182
2020-03-24,1010
2020-03-25,963
2020-03-26,1017
2020-03-27,947
2020-03-28,892
2020-03-29,839
2020-03-30,923
2020-03-31,855
2020-04-01,1147
2020-04-02,912
2020-04-03,888
2020-04-04,845
2020-04-05,824
2020-04-06,903
2020-04-07,780
2020-04-08,852
2020-04-09,835
2020-04-10,1124
2020-04-11,795
2020-04-12,883
2020-04-13,996
2020-04-14,924
2020-04-15,1044
2020-04-16,922
2020-04-17,1014
2020-04-18,1060
2020-04-19,938
2020-04-20,1227
2020-04-21,827
2020-04-22,882
2020-04-23,796
2020-04-24,784
2020-04-25,756
2020-04-26,611
2020-04-27,582
2020-04-28,409
2020-04-29,289
2020-04-30,229
2020-05-01,156
2020-05-02,98
2020-05-03,57
2020-05-04,5
