"dt_notific","n.notific"
2020-02-18,1
2020-03-01,1
2020-03-07,1
2020-03-09,3
2020-03-11,1
2020-03-12,2
2020-03-13,4
2020-03-14,4
2020-03-15,11
2020-03-16,25
2020-03-17,22
2020-03-18,66
2020-03-19,82
2020-03-20,160
2020-03-21,87
2020-03-22,83
2020-03-23,282
2020-03-24,256
2020-03-25,282
2020-03-26,324
2020-03-27,357
2020-03-28,206
2020-03-29,185
2020-03-30,579
2020-03-31,436
2020-04-01,433
2020-04-02,422
2020-04-03,307
2020-04-04,212
2020-04-05,165
2020-04-06,510
2020-04-07,331
2020-04-08,310
2020-04-09,301
2020-04-10,195
2020-04-11,189
2020-04-12,153
2020-04-13,404
2020-04-14,343
2020-04-15,333
2020-04-16,316
2020-04-17,283
2020-04-18,170
2020-04-19,131
2020-04-20,320
2020-04-21,225
2020-04-22,422
2020-04-23,313
2020-04-24,281
2020-04-25,153
2020-04-26,114
2020-04-27,383
2020-04-28,168
2020-04-29,165
2020-04-30,114
2020-05-01,71
2020-05-02,54
2020-05-03,29
2020-05-04,57
