"dt_notific","n.notific"
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,2
2020-03-16,8
2020-03-17,6
2020-03-18,29
2020-03-19,36
2020-03-20,55
2020-03-21,31
2020-03-22,20
2020-03-23,87
2020-03-24,69
2020-03-25,71
2020-03-26,99
2020-03-27,88
2020-03-28,40
2020-03-29,45
2020-03-30,121
2020-03-31,100
2020-04-01,99
2020-04-02,116
2020-04-03,61
2020-04-04,51
2020-04-05,50
2020-04-06,124
2020-04-07,87
2020-04-08,87
2020-04-09,74
2020-04-10,55
2020-04-11,40
2020-04-12,35
2020-04-13,93
2020-04-14,77
2020-04-15,65
2020-04-16,81
2020-04-17,51
2020-04-18,32
2020-04-19,30
2020-04-20,70
2020-04-21,46
2020-04-22,73
2020-04-23,48
2020-04-24,39
2020-04-25,15
2020-04-26,10
2020-04-27,51
2020-04-28,20
2020-04-29,17
2020-04-30,19
2020-05-01,3
2020-05-02,2
2020-05-03,1
2020-05-04,6
