"dt_notific","n.notific"
2020-01-02,3
2020-01-05,1
2020-01-06,1
2020-01-07,3
2020-01-08,2
2020-01-09,1
2020-01-11,1
2020-01-13,2
2020-01-14,4
2020-01-15,2
2020-01-16,1
2020-01-17,1
2020-01-18,1
2020-01-21,1
2020-01-22,4
2020-01-23,2
2020-01-24,3
2020-01-25,2
2020-01-27,2
2020-01-28,1
2020-01-30,3
2020-01-31,1
2020-02-03,5
2020-02-04,2
2020-02-07,1
2020-02-10,3
2020-02-11,1
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-16,2
2020-02-17,5
2020-02-18,2
2020-02-19,4
2020-02-20,2
2020-02-21,4
2020-02-24,3
2020-02-26,5
2020-02-27,4
2020-02-28,2
2020-02-29,2
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,4
2020-03-05,4
2020-03-06,4
2020-03-08,1
2020-03-09,2
2020-03-10,5
2020-03-11,8
2020-03-12,9
2020-03-13,14
2020-03-14,4
2020-03-15,8
2020-03-16,22
2020-03-17,25
2020-03-18,74
2020-03-19,75
2020-03-20,116
2020-03-21,107
2020-03-22,60
2020-03-23,196
2020-03-24,169
2020-03-25,166
2020-03-26,196
2020-03-27,214
2020-03-28,97
2020-03-29,124
2020-03-30,253
2020-03-31,214
2020-04-01,211
2020-04-02,210
2020-04-03,165
2020-04-04,108
2020-04-05,117
2020-04-06,254
2020-04-07,201
2020-04-08,176
2020-04-09,168
2020-04-10,118
2020-04-11,91
2020-04-12,68
2020-04-13,212
2020-04-14,155
2020-04-15,148
2020-04-16,166
2020-04-17,119
2020-04-18,81
2020-04-19,77
2020-04-20,154
2020-04-21,84
2020-04-22,151
2020-04-23,128
2020-04-24,106
2020-04-25,57
2020-04-26,49
2020-04-27,136
2020-04-28,75
2020-04-29,96
2020-04-30,56
2020-05-01,24
2020-05-02,10
2020-05-03,9
2020-05-04,16
