"dt_notific","n.notific"
2019-12-29,1
2019-12-30,2
2019-12-31,1
2020-01-02,9
2020-01-03,16
2020-01-04,1
2020-01-05,6
2020-01-06,12
2020-01-07,11
2020-01-08,20
2020-01-09,18
2020-01-10,12
2020-01-11,7
2020-01-12,6
2020-01-13,18
2020-01-14,13
2020-01-15,13
2020-01-16,12
2020-01-17,8
2020-01-18,4
2020-01-19,3
2020-01-20,18
2020-01-21,10
2020-01-22,9
2020-01-23,11
2020-01-24,13
2020-01-25,5
2020-01-26,1
2020-01-27,24
2020-01-28,11
2020-01-29,19
2020-01-30,18
2020-01-31,13
2020-02-01,6
2020-02-02,5
2020-02-03,13
2020-02-04,16
2020-02-05,15
2020-02-06,8
2020-02-07,18
2020-02-08,7
2020-02-09,2
2020-02-10,29
2020-02-11,18
2020-02-12,13
2020-02-13,21
2020-02-14,22
2020-02-15,7
2020-02-16,7
2020-02-17,31
2020-02-18,28
2020-02-19,34
2020-02-20,34
2020-02-21,25
2020-02-22,9
2020-02-23,8
2020-02-24,23
2020-02-25,9
2020-02-26,53
2020-02-27,62
2020-02-28,43
2020-02-29,16
2020-03-01,16
2020-03-02,48
2020-03-03,38
2020-03-04,34
2020-03-05,28
2020-03-06,34
2020-03-07,14
2020-03-08,20
2020-03-09,79
2020-03-10,43
2020-03-11,53
2020-03-12,73
2020-03-13,100
2020-03-14,56
2020-03-15,64
2020-03-16,222
2020-03-17,200
2020-03-18,317
2020-03-19,503
2020-03-20,815
2020-03-21,454
2020-03-22,375
2020-03-23,1168
2020-03-24,987
2020-03-25,959
2020-03-26,1018
2020-03-27,1121
2020-03-28,601
2020-03-29,552
2020-03-30,1616
2020-03-31,1256
2020-04-01,1184
2020-04-02,1112
2020-04-03,1011
2020-04-04,601
2020-04-05,478
2020-04-06,1441
2020-04-07,1038
2020-04-08,987
2020-04-09,953
2020-04-10,600
2020-04-11,585
2020-04-12,454
2020-04-13,1218
2020-04-14,1075
2020-04-15,1076
2020-04-16,1004
2020-04-17,969
2020-04-18,663
2020-04-19,530
2020-04-20,1180
2020-04-21,775
2020-04-22,1451
2020-04-23,1293
2020-04-24,1174
2020-04-25,790
2020-04-26,627
2020-04-27,1672
2020-04-28,1153
2020-04-29,1375
2020-04-30,987
2020-05-01,586
2020-05-02,456
2020-05-03,343
2020-05-04,477
