"estimate","lower","upper","onset_date","n.reported"
307,307,307,2020-03-22,307
408,403,415,2020-03-23,402
372,366,381,2020-03-24,364
351,344,360,2020-03-25,341
371,363,381,2020-03-26,359
318,311,328,2020-03-27,306
317,309,327,2020-03-28,302
319,311,330,2020-03-29,303
330,321,342,2020-03-30,311
307,298,319,2020-03-31,286
405,394,419,2020-04-01,376
312,301,325,2020-04-02,284
297,286,311,2020-04-03,265
296,283,310,2020-04-04,259
313,300,329,2020-04-05,271
320.5,306,338,2020-04-06,272
286,271,303,2020-04-07,234
319,302,338,2020-04-08,256
327,308,348,2020-04-09,253
414,392,438,2020-04-10,317
316,295,339,2020-04-11,224
371,347,396,2020-04-12,262
343,318,370,2020-04-13,227
375,348,404,2020-04-14,238
429,399,463,2020-04-15,264
398,366,432,2020-04-16,224
430,394,467,2020-04-17,228
508,467,551,2020-04-18,260
450,408,496,2020-04-19,197
532,484,588,2020-04-20,230
362,316,412,2020-04-21,113
385,337,439,2020-04-22,113
385,331.975,446,2020-04-23,89
394,334.975,461,2020-04-24,73
392,327,470,2020-04-25,57
357,283,442,2020-04-26,27
384,296,492.025,2020-04-27,27
356,255,485,2020-04-28,7
363,240,524,2020-04-29,4
359,220,568,2020-04-30,NA
