"estimate","lower","upper","onset_date","n.reported"
22,22,22,2020-03-24,22
20,20,20,2020-03-25,20
30,30,30,2020-03-26,30
39,39,39,2020-03-27,39
49,49,49,2020-03-28,49
45,45,45,2020-03-29,45
52,52,52,2020-03-30,52
54,54,54,2020-03-31,54
64,64,64,2020-04-01,64
61,61,65,2020-04-02,61
62,61,67,2020-04-03,61
87,85,94,2020-04-04,85
89,85,97,2020-04-05,85
83,77,90,2020-04-06,77
91,85,100,2020-04-07,84
79,73,88,2020-04-08,71
70,63,78,2020-04-09,61
90,83,99,2020-04-10,79
81,73,90,2020-04-11,68
84,76,95,2020-04-12,69
116,106,128,2020-04-13,96
80,70,91,2020-04-14,62
91,81,103,2020-04-15,71
88,78,102,2020-04-16,66
104,93,119,2020-04-17,78
92,80,106,2020-04-18,64
102,89,118,2020-04-19,70
119,104,136,2020-04-20,80
107,92,126,2020-04-21,66
128,110,148,2020-04-22,77
150,131,173,2020-04-23,90
124,105,146,2020-04-24,66
114,94,135,2020-04-25,54
154,132,180,2020-04-26,78
147,123,174,2020-04-27,64
171,145,203,2020-04-28,77
131,107,161,2020-04-29,49
96,73,123,2020-04-30,25
102,78,132,2020-05-01,28
83,55,118,2020-05-02,8
