"estimate","lower","upper","onset_date","n.reported"
77,77,77,2020-03-24,77
83,83,83,2020-03-25,83
106,106,106,2020-03-26,106
117,117,117,2020-03-27,117
119,119,119,2020-03-28,119
128,128,128,2020-03-29,128
133,133,133,2020-03-30,133
147,147,147,2020-03-31,147
152,152,152,2020-04-01,152
159,159,159,2020-04-02,159
161,160,166,2020-04-03,160
185,182,192,2020-04-04,182
201,195,211,2020-04-05,193
204,196,214,2020-04-06,189
230,221,242,2020-04-07,210
174,165,186,2020-04-08,154
165,155,178,2020-04-09,142
187,176,201,2020-04-10,159
184,172,198,2020-04-11,151
200,186,216.025,2020-04-12,159
241,225,259,2020-04-13,190
187,171,204,2020-04-14,138
195,178,214,2020-04-15,141
217,198,238,2020-04-16,153
227,207,249,2020-04-17,154
231,210,255,2020-04-18,150
253,229.975,279,2020-04-19,161
265,240,293,2020-04-20,162
246,220,274,2020-04-21,138
274,246,306,2020-04-22,149
329,297,366,2020-04-23,176
288,255,325,2020-04-24,137
280,246,318,2020-04-25,119
361,320,406,2020-04-26,154
386,343,436,2020-04-27,149
390,342,444,2020-04-28,138
363,316,418,2020-04-29,119
260,217,310,2020-04-30,60
249,202.975,303,2020-05-01,53
204,150.975,270,2020-05-02,17
