"estimate","lower","upper","onset_date","n.reported"
1005,1005,1005,2020-03-24,1005
965,962,970,2020-03-25,962
1022,1015,1032,2020-03-26,1011
956,948,972,2020-03-27,942
906,897,923,2020-03-28,889
857,846,875,2020-03-29,833
947,934,968,2020-03-30,917
885,872,907,2020-03-31,852
1191,1175,1219,2020-04-01,1141
952,937,977,2020-04-02,905
934,918,959,2020-04-03,882
897,880,921,2020-04-04,837
889,871,916,2020-04-05,818
991,970,1022,2020-04-06,901
863,841,890,2020-04-07,771
958,934,989,2020-04-08,843
961,936,993,2020-04-09,828
1310,1277,1350,2020-04-10,1107
966,937,1001,2020-04-11,788
1093,1059,1133,2020-04-12,867
1276,1235,1322,2020-04-13,981
1212,1170,1260,2020-04-14,898
1412,1363,1467,2020-04-15,1015
1323,1272,1378,2020-04-16,908
1468,1412,1529,2020-04-17,965
1635,1570,1705,2020-04-18,1023
1524.5,1459,1594,2020-04-19,890
2061,1977,2149,2020-04-20,1151
1493,1417,1575.025,2020-04-21,751
1753,1663,1848,2020-04-22,820
1717,1623,1818,2020-04-23,714
1888,1778,2006.025,2020-04-24,691
2015,1885,2154,2020-04-25,618
1942,1797,2090,2020-04-26,476
2200,2026,2393.025,2020-04-27,441
2052,1861,2264,2020-04-28,291
1987,1763.975,2231.025,2020-04-29,191
1917,1646,2221.025,2020-04-30,103
2082,1684.975,2555.025,2020-05-01,53
2011,1447,2756.075,2020-05-02,5
