"dt_sin_pri","n.casos"
2019-12-30,2
2019-12-31,1
2020-01-02,1
2020-01-05,1
2020-01-07,1
2020-01-11,2
2020-01-13,1
2020-01-14,1
2020-01-15,1
2020-01-16,1
2020-01-17,1
2020-01-19,1
2020-01-20,1
2020-01-28,1
2020-01-31,2
2020-02-01,1
2020-02-02,2
2020-02-03,1
2020-02-04,2
2020-02-05,1
2020-02-07,4
2020-02-08,2
2020-02-09,1
2020-02-10,2
2020-02-11,3
2020-02-12,4
2020-02-14,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-20,1
2020-02-21,1
2020-02-23,3
2020-02-24,1
2020-02-26,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,4
2020-03-08,3
2020-03-09,1
2020-03-10,2
2020-03-11,3
2020-03-12,2
2020-03-14,6
2020-03-15,4
2020-03-16,8
2020-03-17,3
2020-03-18,1
2020-03-19,7
2020-03-20,5
2020-03-21,2
2020-03-22,5
2020-03-23,7
2020-03-24,1
2020-03-25,2
2020-03-26,2
2020-03-27,4
2020-03-28,1
2020-03-29,3
2020-03-30,3
2020-03-31,3
2020-04-01,4
2020-04-02,2
2020-04-03,2
2020-04-05,3
2020-04-06,3
2020-04-07,8
2020-04-08,4
2020-04-09,2
2020-04-10,2
2020-04-11,6
2020-04-12,1
2020-04-13,8
2020-04-14,4
2020-04-15,5
2020-04-17,5
2020-04-18,7
2020-04-19,6
2020-04-20,9
2020-04-21,4
2020-04-22,21
2020-04-23,5
2020-04-24,9
2020-04-25,13
2020-04-26,5
2020-04-27,4
2020-04-28,9
2020-04-29,10
2020-04-30,9
2020-05-01,10
2020-05-02,5
2020-05-03,2
2020-05-04,1
