"dt_notific","n.notific"
2020-01-02,2
2020-01-09,2
2020-01-10,1
2020-01-13,1
2020-01-15,1
2020-01-17,1
2020-01-18,1
2020-01-21,2
2020-01-23,1
2020-01-24,2
2020-02-01,1
2020-02-02,1
2020-02-03,2
2020-02-05,2
2020-02-06,1
2020-02-07,1
2020-02-09,1
2020-02-11,1
2020-02-12,2
2020-02-13,4
2020-02-14,1
2020-02-17,1
2020-02-18,3
2020-02-19,2
2020-02-20,2
2020-02-21,1
2020-02-22,2
2020-02-26,3
2020-02-27,2
2020-02-28,2
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-06,1
2020-03-09,2
2020-03-10,1
2020-03-11,2
2020-03-12,1
2020-03-13,2
2020-03-14,1
2020-03-16,5
2020-03-17,4
2020-03-18,3
2020-03-19,4
2020-03-20,7
2020-03-21,5
2020-03-22,2
2020-03-23,8
2020-03-24,3
2020-03-25,5
2020-03-26,6
2020-03-27,3
2020-03-28,1
2020-03-30,2
2020-03-31,3
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,2
2020-04-06,5
2020-04-07,2
2020-04-08,9
2020-04-09,2
2020-04-11,2
2020-04-12,4
2020-04-13,6
2020-04-14,2
2020-04-15,9
2020-04-16,1
2020-04-17,4
2020-04-19,1
2020-04-20,8
2020-04-21,2
2020-04-22,6
2020-04-23,7
2020-04-24,5
2020-04-25,3
2020-04-26,2
2020-04-27,11
2020-04-28,6
2020-04-29,15
2020-04-30,20
2020-05-01,12
2020-05-02,24
2020-05-03,22
2020-05-04,9
