"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,1
2,2,2,2020-03-25,2
2,2,3,2020-03-26,2
4,4,6,2020-03-27,4
1,1,4,2020-03-28,1
3,3,6,2020-03-29,3
3,3,6,2020-03-30,3
3,3,6,2020-03-31,3
4,4,8,2020-04-01,4
2,2,5,2020-04-02,2
2,2,5,2020-04-03,2
0,0,3,2020-04-04,NA
4,3,7,2020-04-05,3
4,3,8,2020-04-06,3
10,8,14,2020-04-07,8
5,4,10,2020-04-08,4
3,2,7,2020-04-09,2
3,2,7,2020-04-10,2
8,6,12,2020-04-11,6
3,1,7,2020-04-12,1
10,8,17,2020-04-13,8
6,4,12,2020-04-14,4
7,5,13,2020-04-15,5
2,0,8,2020-04-16,NA
8,5,15,2020-04-17,5
11,7,19,2020-04-18,6
12,7,21,2020-04-19,6
15,10,25,2020-04-20,8
12,6,23,2020-04-21,4
33,23,50,2020-04-22,18
15,7,29,2020-04-23,4
19,10,33,2020-04-24,6
30,19,51,2020-04-25,11
19,8,37,2020-04-26,2
28,13,53,2020-04-27,4
43,21,83,2020-04-28,6
53,24,111,2020-04-29,4
72,31,177,2020-04-30,5
65,21,195,2020-05-01,NA
73,20,301,2020-05-02,1
