"dtobito","n.notific"
2020-03-04,2
2020-03-05,2
2020-03-11,2
2020-03-13,1
2020-03-16,8
2020-03-17,4
2020-03-18,3
2020-03-19,15
2020-03-20,17
2020-03-21,25
2020-03-22,23
2020-03-23,32
2020-03-24,38
2020-03-25,34
2020-03-26,52
2020-03-27,52
2020-03-28,71
2020-03-29,67
2020-03-30,80
2020-03-31,101
2020-04-01,102
2020-04-02,96
2020-04-03,105
2020-04-04,108
2020-04-05,110
2020-04-06,126
2020-04-07,131
2020-04-08,116
2020-04-09,91
2020-04-10,116
2020-04-11,112
2020-04-12,119
2020-04-13,131
2020-04-14,111
2020-04-15,114
2020-04-16,97
2020-04-17,118
2020-04-18,111
2020-04-19,115
2020-04-20,137
2020-04-21,116
2020-04-22,138
2020-04-23,164
2020-04-24,134
2020-04-25,120
2020-04-26,160
2020-04-27,148
2020-04-28,176
2020-04-29,178
2020-04-30,153
2020-05-01,180
2020-05-02,139
2020-05-03,162
2020-05-04,139
2020-05-05,138
2020-05-06,83
2020-05-07,64
2020-05-08,16
