"estimate","lower","upper","onset_date","n.reported"
64,64,64,2020-03-28,64
60,60,60,2020-03-29,60
75,75,75,2020-03-30,75
91,91,91,2020-03-31,91
86,86,86,2020-04-01,86
92,92,92,2020-04-02,92
96,96,96,2020-04-03,96
102,102,102,2020-04-04,102
98,98,98,2020-04-05,98
119,119,119,2020-04-06,119
124,124,124,2020-04-07,124
103,103,103,2020-04-08,103
83,83,85,2020-04-09,83
109,109,112,2020-04-10,109
103,103,106,2020-04-11,103
106,106,109,2020-04-12,106
120,120,123,2020-04-13,120
100,99,102,2020-04-14,99
109,108,112,2020-04-15,108
81,80,84,2020-04-16,80
102,101,106,2020-04-17,101
103,102,107,2020-04-18,102
108,106,112,2020-04-19,106
132,130,137,2020-04-20,130
110,107,114,2020-04-21,107
129,125,133,2020-04-22,125
147,144,152,2020-04-23,143
118,114,123,2020-04-24,113
110,106,116,2020-04-25,105
155,150,161,2020-04-26,148
141,136,147,2020-04-27,133
170,164,177,2020-04-28,160
175,168,184,2020-04-29,162
154,145,164,2020-04-30,134
195,184,208,2020-05-01,164
169,154,185,2020-05-02,121
225,204,249,2020-05-03,139
202,175,233,2020-05-04,82
156,116,199,2020-05-05,17
149,97,207,2020-05-06,NA
