"now.mean.c","now.mean.c.proj","now.low.c","now.low.c.proj","now.upp.c","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c","not.low.c.proj","not.upp.c","not.upp.c.proj","data"
31,NA,31,NA,31,NA,31,NA,31,NA,31,NA,2020-03-01
38,NA,38,NA,38,NA,38,NA,38,NA,38,NA,2020-03-02
47,NA,47,NA,47,NA,47,NA,47,NA,47,NA,2020-03-03
57,NA,57,NA,57,NA,57,NA,57,NA,57,NA,2020-03-04
66,NA,66,NA,66,NA,66,NA,66,NA,66,NA,2020-03-05
84,NA,84,NA,84,NA,84,NA,84,NA,84,NA,2020-03-06
102,NA,102,NA,102,NA,102,NA,102,NA,102,NA,2020-03-07
122,NA,122,NA,122,NA,122,NA,122,NA,122,NA,2020-03-08
159,NA,159,NA,159,NA,159,NA,159,NA,159,NA,2020-03-09
202,NA,202,NA,202,NA,202,NA,202,NA,202,NA,2020-03-10
256,NA,256,NA,256,NA,256,NA,256,NA,256,NA,2020-03-11
315,NA,315,NA,315,NA,315,NA,315,NA,315,NA,2020-03-12
390,NA,390,NA,390,NA,390,NA,390,NA,390,NA,2020-03-13
506,NA,506,NA,506,NA,506,NA,506,NA,506,NA,2020-03-14
632,NA,632,NA,632,NA,632,NA,632,NA,632,NA,2020-03-15
793,NA,793,NA,793,NA,793,NA,793,NA,793,NA,2020-03-16
935,NA,935,NA,935,NA,935,NA,935,NA,935,NA,2020-03-17
1080,NA,1080,NA,1080,NA,1080,NA,1080,NA,1080,NA,2020-03-18
1239,NA,1239,NA,1239,NA,1239,NA,1239,NA,1239,NA,2020-03-19
1457,NA,1457,NA,1457,NA,1457,NA,1457,NA,1457,NA,2020-03-20
1659,NA,1659,NA,1659,NA,1659,NA,1659,NA,1659,NA,2020-03-21
1867,NA,1867,NA,1867,NA,1867,NA,1867,NA,1867,NA,2020-03-22
2134,NA,2134,NA,2134,NA,2134,NA,2134,NA,2134,NA,2020-03-23
2376,NA,2376,NA,2376,NA,2376,NA,2376,NA,2376,NA,2020-03-24
2620,NA,2620,NA,2620,NA,2620,NA,2620,NA,2620,NA,2020-03-25
2861,NA,2861,NA,2861,NA,2863,NA,2863,NA,2863,NA,2020-03-26
3051,NA,3050,NA,3055,NA,3055,NA,3055,NA,3055,NA,2020-03-27
3258,NA,3255,NA,3267,NA,3262,NA,3262,NA,3262,NA,2020-03-28
3458,NA,3452,NA,3471,NA,3461,NA,3461,NA,3461,NA,2020-03-29
3685,NA,3676,NA,3703,NA,3687,NA,3687,NA,3687,NA,2020-03-30
3887,NA,3875,NA,3910,NA,3886,NA,3886,NA,3886,NA,2020-03-31
4140,NA,4124,NA,4170,NA,4139,NA,4139,NA,4139,NA,2020-04-01
4342,NA,4322,NA,4379,NA,4339,NA,4339,NA,4339,NA,2020-04-02
4528,NA,4503,NA,4572,NA,4521,NA,4521,NA,4521,NA,2020-04-03
4722,NA,4692,NA,4773,NA,4711,NA,4711,NA,4711,NA,2020-04-04
4919,NA,4883,NA,4977,NA,4899,NA,4899,NA,4899,NA,2020-04-05
5136,NA,5094,NA,5202,NA,5109,NA,5109,NA,5109,NA,2020-04-06
5329,NA,5280,NA,5403,NA,5294,NA,5294,NA,5294,NA,2020-04-07
5538,NA,5482,NA,5621,NA,5495,NA,5495,NA,5495,NA,2020-04-08
5743,NA,5679,NA,5835,NA,5689,NA,5689,NA,5689,NA,2020-04-09
6011,NA,5938,NA,6114,NA,5941,NA,5941,NA,5941,NA,2020-04-10
6195,NA,6112,NA,6310,NA,6108,NA,6108,NA,6108,NA,2020-04-11
6434,NA,6340,NA,6562,NA,6321,NA,6321,NA,6321,NA,2020-04-12
6657,NA,6551,NA,6798,NA,6522,NA,6522,NA,6522,NA,2020-04-13
6887,NA,6768,NA,7042,NA,6725,NA,6725,NA,6725,NA,2020-04-14
7153,NA,7020,NA,7324,NA,6952,NA,6952,NA,6952,NA,2020-04-15
7395,NA,7246,NA,7583,NA,7154,NA,7154,NA,7154,NA,2020-04-16
7669,NA,7503,NA,7876,NA,7379,NA,7379,NA,7379,NA,2020-04-17
7967,NA,7782,NA,8196,NA,7620,NA,7620,NA,7620,NA,2020-04-18
8209,NA,8004,NA,8460,NA,7788,NA,7788,NA,7788,NA,2020-04-19
8526,NA,8298,NA,8802,NA,8037,NA,8037,NA,8037,NA,2020-04-20
8772,NA,8522,NA,9074,NA,8196,NA,8196,NA,8196,NA,2020-04-21
9031,NA,8758,NA,9359,NA,8377,NA,8377,NA,8377,NA,2020-04-22
9274,NA,8976,NA,9630,NA,8546,NA,8546,NA,8546,NA,2020-04-23
9528,NA,9202,NA,9914,NA,8708,NA,8708,NA,8708,NA,2020-04-24
9779,NA,9424,NA,10198,NA,8854,NA,8854,NA,8854,NA,2020-04-25
10005,NA,9619,NA,10457,NA,8957,NA,8957,NA,8957,NA,2020-04-26
10229,NA,9809,NA,10717,NA,9068,NA,9068,NA,9068,NA,2020-04-27
10425,NA,9969,NA,10951,NA,9150,NA,9150,NA,9150,NA,2020-04-28
10613,NA,10117,NA,11181,NA,9218,NA,9218,NA,9218,NA,2020-04-29
10804,NA,10264,NA,11419,NA,9286,NA,9286,NA,9286,NA,2020-04-30
11007,NA,10418,NA,11679,NA,9346,NA,9346,NA,9346,NA,2020-05-01
11206,NA,10562,NA,11942,NA,9382,NA,9382,NA,9382,NA,2020-05-02
11418,NA,10711,NA,12238,NA,9409,NA,9409,NA,9409,NA,2020-05-03
11626,11626,10848,10848,12545,12545,9425,9425,9425,9425,9425,9425,2020-05-04
NA,11842.0792658494,NA,11006.0535653064,NA,12831.459121435,NA,9515.65473147907,NA,9488.21293803394,NA,9551.89745049197,2020-05-05
NA,12061.1572682373,NA,11159.3870800565,NA,13136.5684965923,NA,9592.98698876182,NA,9541.68100518841,NA,9661.13312192051,2020-05-06
NA,12284.2882050849,NA,11314.8567979975,NA,13448.9328323841,NA,9655.91910091384,NA,9585.07035680897,NA,9750.31374795371,2020-05-07
NA,12511.5470555207,NA,11472.4924801642,NA,13768.7246389268,NA,9706.54017421825,NA,9619.88181347583,NA,9822.25996657183,2020-05-08
NA,12743.0101857846,NA,11632.3243022146,NA,14096.1205283217,NA,9745.44462592261,NA,9646.56616030705,NA,9877.71890832098,2020-05-09
NA,12978.7553748884,NA,11794.3828602062,NA,14431.3013121932,NA,9773.11963885882,NA,9665.49626283651,NA,9917.29423141902,2020-05-10
NA,13218.8618407531,NA,11958.6991764527,NA,14774.4521015462,NA,9790.59988530525,NA,9677.41816654471,NA,9942.37471016236,2020-05-11
NA,13463.4102668276,NA,12125.3047054631,NA,15125.7624089971,NA,9800.21025091661,NA,9683.95433512303,NA,9956.20786238767,2020-05-12
NA,13712.482829202,NA,12294.2313399622,NA,15485.4262534369,NA,9803.69314632049,NA,9686.31599138983,NA,9961.23849039705,2020-05-13
NA,13966.1632242204,NA,12465.5114169963,NA,15853.6422671822,NA,9803.86475129219,NA,9686.43185573469,NA,9961.48757428315,2020-05-14
