"now.mean.c","now.mean.c.proj","now.low.c","now.low.c.proj","now.upp.c","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c","not.low.c.proj","not.upp.c","not.upp.c.proj","data"
167,NA,167,NA,167,NA,167,NA,167,NA,167,NA,2020-02-09
180,NA,180,NA,180,NA,180,NA,180,NA,180,NA,2020-02-10
181,NA,181,NA,181,NA,181,NA,181,NA,181,NA,2020-02-11
190,NA,190,NA,190,NA,190,NA,190,NA,190,NA,2020-02-12
197,NA,197,NA,197,NA,197,NA,197,NA,197,NA,2020-02-13
202,NA,202,NA,202,NA,202,NA,202,NA,202,NA,2020-02-14
210,NA,210,NA,210,NA,210,NA,210,NA,210,NA,2020-02-15
216,NA,216,NA,216,NA,216,NA,216,NA,216,NA,2020-02-16
226,NA,226,NA,226,NA,226,NA,226,NA,226,NA,2020-02-17
230,NA,230,NA,230,NA,230,NA,230,NA,230,NA,2020-02-18
237,NA,237,NA,237,NA,237,NA,237,NA,237,NA,2020-02-19
253,NA,253,NA,253,NA,253,NA,253,NA,253,NA,2020-02-20
261,NA,261,NA,261,NA,261,NA,261,NA,261,NA,2020-02-21
272,NA,272,NA,272,NA,272,NA,272,NA,272,NA,2020-02-22
280,NA,280,NA,280,NA,280,NA,280,NA,280,NA,2020-02-23
290,NA,290,NA,290,NA,290,NA,290,NA,290,NA,2020-02-24
307,NA,307,NA,307,NA,307,NA,307,NA,307,NA,2020-02-25
314,NA,314,NA,314,NA,314,NA,314,NA,314,NA,2020-02-26
322,NA,322,NA,322,NA,322,NA,322,NA,322,NA,2020-02-27
340,NA,340,NA,340,NA,340,NA,340,NA,340,NA,2020-02-28
350,NA,350,NA,350,NA,350,NA,350,NA,350,NA,2020-02-29
385,NA,385,NA,385,NA,385,NA,385,NA,385,NA,2020-03-01
413,NA,413,NA,413,NA,413,NA,413,NA,413,NA,2020-03-02
457,NA,457,NA,457,NA,457,NA,457,NA,457,NA,2020-03-03
494,NA,494,NA,494,NA,494,NA,494,NA,494,NA,2020-03-04
525,NA,525,NA,525,NA,525,NA,525,NA,525,NA,2020-03-05
571,NA,571,NA,571,NA,571,NA,571,NA,571,NA,2020-03-06
615,NA,615,NA,615,NA,615,NA,615,NA,615,NA,2020-03-07
673,NA,673,NA,673,NA,673,NA,673,NA,673,NA,2020-03-08
763,NA,763,NA,763,NA,763,NA,763,NA,763,NA,2020-03-09
885,NA,885,NA,885,NA,885,NA,885,NA,885,NA,2020-03-10
1013,NA,1013,NA,1013,NA,1013,NA,1013,NA,1013,NA,2020-03-11
1175,NA,1175,NA,1175,NA,1175,NA,1175,NA,1175,NA,2020-03-12
1361,NA,1361,NA,1361,NA,1361,NA,1361,NA,1361,NA,2020-03-13
1595,NA,1595,NA,1595,NA,1595,NA,1595,NA,1595,NA,2020-03-14
