"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
8,15,2.20196825179758,0.460297067658632,1.41210702086915,1.51197994161985,3.02521987020706,2.16283335543194,3.02521987020706,3.02521987020706,3.21330355873583,"2020-03-01"
9,16,2.24095858276978,0.438685308414614,1.47540827800126,1.57879870328039,3.00726175671344,2.20877213075927,3.00726175671344,3.00726175671344,3.17807353154411,"2020-03-02"
10,17,2.17797528629971,0.420777501011928,1.44112843518442,1.54537069367806,2.91559322503081,2.1463817513326,2.91559322503081,2.91559322503081,3.08045229102258,"2020-03-03"
11,18,2.16410225025651,0.409302976382126,1.46528662307582,1.55414103953754,2.89665844905039,2.12721253279802,2.89665844905039,2.89665844905039,3.06260299905723,"2020-03-04"
12,19,2.22610619038968,0.394939964243983,1.55599373548208,1.64589020502944,2.92983784799601,2.19033319869664,2.92983784799601,2.92983784799601,3.09447606511604,"2020-03-05"
13,20,2.3377688215163,0.380904825234822,1.68078366112881,1.7674444199995,3.01919595072807,2.30658713346507,3.01919595072807,3.01919595072807,3.16605810315035,"2020-03-06"
14,21,2.40856151170489,0.375894560730909,1.76260463020846,1.84802722670243,3.07658291127538,2.37491948016485,3.07658291127538,3.07658291127538,3.22924773639282,"2020-03-07"
15,22,2.47923121982766,0.376672849471159,1.83252694409576,1.91884309080731,3.15561563824941,2.44553947968083,3.15561563824941,3.15561563824941,3.29752150043683,"2020-03-08"
16,23,2.5859877527892,0.38335492121799,1.94451412559043,2.02053277091209,3.27951439704713,2.54547701199357,3.27951439704713,3.27951439704713,3.42178437698223,"2020-03-09"
17,24,2.72852526216134,0.398336555961362,2.06207156482945,2.14500856474495,3.44979309099928,2.68614094134726,3.44979309099928,3.44979309099928,3.59771574298134,"2020-03-10"
18,25,2.77749963223472,0.409582532096402,2.10566932011312,2.18421290746283,3.52022743374898,2.73153106110376,3.52022743374898,3.52022743374898,3.67019296082434,"2020-03-11"
19,26,2.76138420004601,0.413693653568388,2.09664896360844,2.17280199507078,3.51744044471291,2.70545536828832,3.51744044471291,3.51744044471291,3.66204940999953,"2020-03-12"
20,27,2.74212152761621,0.409018776818823,2.08925109003427,2.16338071359402,3.49713813594297,2.6815677069234,3.49713813594297,3.49713813594297,3.6381366771781,"2020-03-13"
21,28,2.81611761548196,0.410512048012416,2.17102509159841,2.24023699923668,3.58007460976255,2.75075754215225,3.58007460976255,3.58007460976255,3.72059055976299,"2020-03-14"
22,29,2.7749682112183,0.399143265501239,2.14748103428014,2.21700546614872,3.51653858615667,2.71445730076062,3.51653858615667,3.51653858615667,3.64884167887573,"2020-03-15"
