"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
8,15,0.809305780159994,0.154075594568319,0.536061947147561,0.57258774015274,1.07918360535051,0.799361369081065,1.07918360535051,1.07918360535051,1.13901708540021,2020-01-12
9,16,0.771907057716282,0.152689725575279,0.503586985832933,0.541219536402051,1.03928492720063,0.76161273792959,1.03928492720063,1.03928492720063,1.09806644535839,2020-01-13
10,17,0.77490601265517,0.155264504199771,0.500449924206155,0.538861252786353,1.04635247429563,0.764179071560726,1.04635247429563,1.04635247429563,1.10481918561367,2020-01-14
11,18,0.81476106749329,0.164753868633644,0.524578125491979,0.564662513553693,1.10392079853129,0.803019307630638,1.10392079853129,1.10392079853129,1.16561697180684,2020-01-15
12,19,0.762134042676076,0.165239669923413,0.475206423860308,0.51431485557807,1.0558933488778,0.749778940095206,1.0558933488778,1.0558933488778,1.1221232351512,2020-01-16
13,20,0.910946805321644,0.184037317949374,0.587364605778235,0.630604264476529,1.23589315032807,0.897796128473871,1.23589315032807,1.23589315032807,1.30348579033505,2020-01-17
14,21,0.809225024748938,0.177868606165933,0.498273033473613,0.539985442452145,1.12161938298614,0.796102875249082,1.12161938298614,1.12161938298614,1.19119576924824,2020-01-18
15,22,0.804896455291691,0.181027108073875,0.489131997159229,0.529377279600672,1.12614171055556,0.792104383821765,1.12614171055556,1.12614171055556,1.19518120331544,2020-01-19
16,23,0.796220265221837,0.183219541402685,0.482332588548417,0.522309212007626,1.12069369762864,0.780519587562763,1.12069369762864,1.12069369762864,1.19381915108224,2020-01-20
17,24,0.881639721637486,0.198001087069721,0.538356230694177,0.585091520749327,1.23172276092666,0.865295449151184,1.23172276092666,1.23172276092666,1.30938443956514,2020-01-21
18,25,0.972897145505533,0.212908336510948,0.6009955777972,0.648912015199164,1.34689451526388,0.958016049158323,1.34689451526388,1.34689451526388,1.433091885979,2020-01-22
19,26,1.01159393204703,0.222190310542758,0.626613289350705,0.674694073474715,1.40466485000418,0.99511138728912,1.40466485000418,1.40466485000418,1.4935111466071,2020-01-23
20,27,1.23320279814409,0.247719491627527,0.795727996449628,0.856210026398567,1.66523297051006,1.21695411667481,1.66523297051006,1.66523297051006,1.76153383155199,2020-01-24
21,28,1.38182302823779,0.260747959956087,0.92191966724137,0.982511166025774,1.83979655562786,1.36415219774545,1.83979655562786,1.83979655562786,1.93458502885458,2020-01-25
